x,y
33,23
31,24
48,5
31,26
27,27
7,14
31,23
51,10
7,6
29,21
9,13
56,13
29,32
33,27
50,4
29,20
9,8
13,13
14,5
26,22
32,31
49,14
26,26
33,21
13,8
6,9
8,10
34,24
10,15
33,22
28,30
46,7
28,14
32,24
53,1
52,9
9,11
10,7
9,10
10,12
7,11
11,9
8,10
10,10
39,14
45,11
27,26
10,15
49,8
26,25
12,6
9,10
50,13
56,11
51,9
7,7
29,24
11,8
49,6
33,27
8,8
14,14
10,10
48,10
30,22
51,11
9,4
27,26
10,10
24,26
47,18
30,24
28,21
29,29
31,20
30,26
54,14
35,27
32,27
26,25
8,9
8,8
47,3
50,10
27,20
52,7
29,25
8,13
52,8
29,23
28,24
29,23
4,7
51,11
7,11
11,12
16,6
17,9
53,13
30,23
15,9
49,7
27,28
10,8
10,10
31,24
30,19
43,15
25,25
26,25
31,29
27,20
13,10
14,12
51,10
49,12
47,9
50,12
28,28
31,31
49,8
52,8
15,9
13,12
32,25
48,6
30,22
10,6
47,6
32,28
9,5
31,23
29,28
48,8
26,22
51,10
26,26
31,27
26,29
51,13
50,12
28,26
55,11
34,24
28,25
12,12
50,10
35,27
49,15
29,29
10,6
46,8
52,10
30,25
50,12
5,12
53,10
28,20
50,10
47,12
32,23
28,25
9,8
11,11
33,20
52,13
14,8
48,11
5,10
11,5
42,8
51,13
10,10
48,9
48,13
29,23
53,13
8,9
14,9
7,4
37,27
51,11
51,11
47,8
52,5
9,10
30,27
14,11
28,24
48,6
6,6
28,21
8,11
13,6
8,7
31,27
28,26
55,8
13,9
51,10
44,9
44,8
53,7
52,15
9,10
23,23
10,13
54,8
47,13
29,29
29,22
30,22
12,8
10,11
29,21
26,23
11,10
30,20
28,25
26,23
30,25
29,28
55,9
51,13
29,22
52,8
27,26
12,9
6,4
26,23
44,8
43,7
9,10
53,7
50,8
51,12
31,25
5,9
50,7
5,8
34,27
51,10
29,21
47,11
12,15
11,13
50,7
50,5
50,8
46,6
6,11
7,6
11,8
13,11
9,8
10,9
48,10
29,21
5,10
13,10
11,5
16,6
30,20
31,28
9,4
46,11
24,21
9,14
46,9
53,8
30,28
14,6
10,7
13,9
49,13
49,7
10,12
53,7
9,10
48,3
13,11
36,27
28,21
30,20
14,10
27,23
11,11
11,9
10,12
47,6
8,6
31,28
9,14
10,3
48,9
33,24
8,13
32,24
48,8
13,10
49,12
10,8
28,20
31,24
7,14
22,21
31,26
7,12
9,7
7,5
2,7
30,21
48,6
31,26
11,7
51,5
26,24
5,9
12,12
48,9
48,9
9,8
9,13
27,24
30,27
30,29
35,25
27,22
50,7
33,25
50,5
48,12
51,11
43,12
47,6
14,11
41,25
26,26
29,26
48,13
47,7
28,27
27,26
32,27
14,8
12,10
24,22
50,8
8,11
30,26
35,26
33,26
13,5
7,8
51,4
12,11
43,9
26,22
8,7
50,7
24,28
14,5
49,11
42,6
35,26
48,18
7,7
11,12
31,30
8,8
32,23
52,8
28,24
35,28
51,8
14,9
31,23
26,22
49,10
48,11
50,14
26,26
1,11
10,11
31,30
51,14
47,16
48,14
9,7
47,9
8,8
11,10
32,23
48,4
29,27
14,2
30,24
32,21
8,12
47,6
45,13
14,16
10,6
54,12
49,8
53,11
12,9
5,12
42,14
52,6
50,13
27,26
45,11
52,8
48,9
53,7
26,22
46,3
55,11
11,5
53,12
8,10
54,8
25,21
4,6
53,5
50,14
13,16
6,8
46,11
46,14
51,6
11,10
50,4
49,11
14,13
28,24
24,26
8,3
9,12
51,10
29,25
12,9
30,26
47,15
12,10
8,10
51,7
7,12
6,15
51,7
32,29
52,4
55,6
8,10
15,11
51,10
30,23
11,11
48,7
28,21
51,5
48,6
7,10
52,8
50,13
48,13
27,25
29,23
51,7
48,7
3,5
45,10
51,10
8,16
31,24
31,25
10,12
9,3
29,26
56,7
28,25
30,21
12,10
50,6
52,12
55,12
11,4
8,9
29,24
22,27
27,26
49,5
10,7
47,8
9,15
31,21
16,11
29,21
27,17
8,7
49,8
28,23
48,13
50,10
44,14
7,10
52,11
7,8
33,28
32,26
13,5
48,10
10,11
34,32
51,10
28,29
48,6
48,4
11,6
6,11
34,24
28,23
50,9
10,9
30,23
51,12
25,26
28,26
16,11
47,14
49,10
29,28
31,24
34,25
28,21
53,12
48,13
8,7
48,7
48,9
45,5
7,6
53,9
51,6
49,11
33,26
14,12
55,12
28,29
10,17
28,23
49,11
57,10
48,8
11,7
49,11
30,23
13,11
23,26
24,28
28,24
45,8
54,9
8,13
26,25
30,26
25,27
4,10
52,4
51,9
51,5
27,21
28,21
11,7
8,4
12,10
32,26
12,11
25,22
53,11
52,5
51,11
49,7
26,30
7,12
47,14
